day,month,year,mintp,mxntp,p,evp
1,9,1983,20.2,33,0,4.7
2,9,1983,24,32.8,0,4.8
3,9,1983,21,31.2,0,4.7
4,9,1983,22,29.7,0,4.5
5,9,1983,19.4,29.6,0,4.7
6,9,1983,19,29.5,0,4.1
7,9,1983,19,33.2,0,5.2
8,9,1983,19,30.4,0,4.3
9,9,1983,18.4,33.6,0,5
10,9,1983,23,35,0,5.3
11,9,1983,20,34.4,0,5
12,9,1983,21,28.4,0,3.8
13,9,1983,19.6,27.9,0,3.8
14,9,1983,18,27.4,0,3.7
15,9,1983,20,31.8,0,4.5
16,9,1983,19.5,37,0,5.5
17,9,1983,21,33,0,4.7
18,9,1983,19.5,27.2,0,3.8
19,9,1983,15.4,27.6,0,3.9
20,9,1983,17.8,29.3,0,4
21,9,1983,19,28.9,0,3.7
22,9,1983,16.1,30,0,4.1
23,9,1983,16.7,30.4,0,4.1
24,9,1983,16.4,31.3,0,4.3
25,9,1983,15.8,30.8,0,4.3
26,9,1983,16,29,0,3.7
27,9,1983,15,20.1,9.5,2.1
28,9,1983,16,23.5,24,2.6
29,9,1983,15,27.5,0,3.3
30,9,1983,15,28.9,0,3.7
1,10,1983,18,27.8,0,3.3
2,10,1983,18,24.3,0,2.3
3,10,1983,17.4,25.5,18,2.5
4,10,1983,17.6,26.7,0,2.6
5,10,1983,17,27,0,2.4
6,10,1983,17.4,26.2,0,2.6
7,10,1983,18,24,0,2.1
8,10,1983,17.7,25.4,2,2.4
9,10,1983,17.5,27.2,0,3
10,10,1983,17,27.5,0,2.9
11,10,1983,15,27.3,0,2.9
12,10,1983,17,25.4,0,2.5
13,10,1983,14.4,24.4,0,2.3
14,10,1983,14.2,27.2,0,2.6
15,10,1983,15.9,27,0,2.7
16,10,1983,10,27.5,0,2.8
17,10,1983,17,27,0,3.1
18,10,1983,13,22,5,2.6
19,10,1983,11.5,20.5,8,1.6
20,10,1983,17,22.5,14.2,1.9
21,10,1983,15,24.1,0,2.4
22,10,1983,14,24.7,0,2.3
23,10,1983,11.8,23.5,0,2.2
24,10,1983,15.6,22.2,0,2
25,10,1983,13,21.4,0,2
26,10,1983,12,21,0,2.2
27,10,1983,10.4,20.6,0,2.2
28,10,1983,11.5,22.2,0,2.3
29,10,1983,10.4,22.4,0,2.3
30,10,1983,10.8,25.2,0,2.5
31,10,1983,13,20,10.5,1.6
1,11,1983,10.4,17.1,22.5,1.3
2,11,1983,11.2,18.6,5.8,1.6
3,11,1983,9,20,0,1.6
4,11,1983,8.5,22.2,0,1.9
5,11,1983,11.9,23,0,1.7
6,11,1983,11.9,21,0,1.1
7,11,1983,19,21.5,26,1.1
8,11,1983,14.6,20.7,2,1.4
9,11,1983,14,22,0,1.5
10,11,1983,16,24,0,1.8
11,11,1983,14,22.5,0,1.7
12,11,1983,13,20,0,1.3
13,11,1983,11.7,20.6,0,1.4
14,11,1983,8.4,24.1,0,2
15,11,1983,12.8,23.4,0,1.9
16,11,1983,11,23,0,1.6
17,11,1983,12.3,22,0,1.5
18,11,1983,13.6,21.2,1,1.7
19,11,1983,11,18.2,8.5,1
20,11,1983,8.8,20,4.5,1.7
21,11,1983,11.1,17.2,0,1.1
22,11,1983,13.8,21,3.4,1.5
23,11,1983,14,20.2,5.7,1.3
24,11,1983,12,19,2.8,1.2
25,11,1983,10.9,19.6,0,1.3
26,11,1983,12.4,20,0,1.2
27,11,1983,12.2,21.2,0,1.7
28,11,1983,13.2,19,3.7,1.5
29,11,1983,13,18.2,0,1.5
30,11,1983,9.8,17.7,0,1.3
1,12,1983,6,16,1.7,1.2
2,12,1983,0,10,9.5,0.9
3,12,1983,4,12,2.8,0.9
4,12,1983,6,13,13.8,0.8
5,12,1983,6.4,14.1,2.5,1
6,12,1983,5.7,14.5,1.7,0.8
7,12,1983,8,15,6.3,1.1
8,12,1983,6.3,12,3,1.3
9,12,1983,4,12.4,0,0.9
10,12,1983,6,16.6,0,1.3
11,12,1983,6.2,15.8,0,1.1
12,12,1983,6.4,17.6,0,1.3
13,12,1983,5.2,16.4,0,1.3
