-BEGIN HEADER-,,,,,,,,,,,
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data ,,,,,,,,,,,
Dates (month/day/year): 04/01/2014 through 07/31/2016 ,,,,,,,,,,,
Location: Latitude  22.6439   Longitude 120.6 ,,,,,,,,,,,
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 369.24 meters   Site = na ,,,,,,,,,,,
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) ,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -99 ,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) ,,,,,,,,,,,
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) ,,,,,,,,,,,
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) ,,,,,,,,,,,
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (MJ/m^2/day) ,,,,,,,,,,,
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) ,,,,,,,,,,,
T2MDEW MERRA2 1/2x1/2 Dew/Frost Point at 2 Meters (C) ,,,,,,,,,,,
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) ,,,,,,,,,,,
WS2M MERRA2 1/2x1/2 Wind Speed at 2 Meters (m/s) ,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,
LAT,LON,YEAR,DOY,PRECTOT,WS2M,RH2M,T2MDEW,T2M_MAX,T2M_MIN,ALLSKY_SFC_SW_DWN,T2M
22.64391,120.60001,2014,194,0.16,2.48,76.8,23.66,31.79,25.17,24.99,28.17
22.64391,120.60001,2014,195,0.22,2.36,76.19,23.69,31.97,25.44,25.2,28.35
22.64391,120.60001,2014,196,0.22,2.34,74.53,23.2,31.89,25.4,22.95,28.23
22.64391,120.60001,2014,197,0.96,4.03,71.75,22.61,32.04,25.11,24.72,28.3
22.64391,120.60001,2014,198,3.4,4.33,77.09,23.51,31.13,25.78,15.86,27.96
22.64391,120.60001,2014,199,6.76,2.71,76.9,23.46,31.39,25.62,16.27,27.94
22.64391,120.60001,2014,200,3.35,1.52,79.44,23.33,29.34,25.24,20.98,27.23
22.64391,120.60001,2014,201,3.04,1.57,72.37,22.82,32.19,25.53,22.87,28.33
22.64391,120.60001,2014,202,5.82,2.27,73.09,23.14,32.35,25.73,24.55,28.51
22.64391,120.60001,2014,203,46.08,4.9,82.16,24.48,30.67,26.12,10.57,27.87
22.64391,120.60001,2014,204,65.24,9.71,91.25,24.73,26.86,25.64,2.48,26.3
22.64391,120.60001,2014,205,7.53,5.08,85.4,23.96,28.59,25.32,11.7,26.64
22.64391,120.60001,2014,206,13.36,3.12,85.18,23.8,28.62,25,15.68,26.53
22.64391,120.60001,2014,207,1.63,2.75,81.56,23.49,30.03,24.67,23.86,26.94
22.64391,120.60001,2014,208,1.73,1.36,75.54,22.57,31,24.32,23.91,27.35
22.64391,120.60001,2014,209,2.85,0.81,79.74,23.27,29.97,24.86,23.31,27.11
22.64391,120.60001,2014,210,11.34,0.88,81.63,23.89,30.1,25.37,21.68,27.34
22.64391,120.60001,2014,211,3.36,1.67,82.72,24.21,30.25,25.35,21.53,27.46
22.64391,120.60001,2014,212,1.14,4.09,86.71,24.96,30.01,25.82,21.38,27.41
22.64391,120.60001,2014,213,6.2,4.9,88.65,24.94,28.6,25.69,18.44,27
22.64391,120.60001,2014,214,5.2,4.01,85.75,24.28,28.88,25.34,21.53,26.89
22.64391,120.60001,2014,215,6.14,2.51,85.03,24.04,28.34,25.4,21.1,26.81
22.64391,120.60001,2014,216,3.32,2.6,85.7,24,28.36,24.95,18.88,26.63
22.64391,120.60001,2014,217,2.3,2.09,82.88,23.32,28.91,24.65,19.95,26.51
22.64391,120.60001,2014,218,4.63,1.49,81.37,23.58,29.65,24.84,21.04,27.08
22.64391,120.60001,2014,219,37.69,4.24,87.88,24.69,29.06,25.23,15.35,26.9
22.64391,120.60001,2014,220,32.08,4.35,89.95,25.21,28.96,25.84,10.88,27.02
22.64391,120.60001,2014,221,59.48,5.02,90.4,25,28.35,25.59,10.95,26.72
22.64391,120.60001,2014,222,51.8,4.54,90.59,24.78,28.11,25.32,11.39,26.47
22.64391,120.60001,2014,223,65.51,3.88,90.7,24.35,27.38,25.01,7.69,26.01
22.64391,120.60001,2014,224,93.99,3.6,91.37,23.93,26.48,24.68,6.67,25.46
22.64391,120.60001,2014,225,41.6,5.77,91.3,24.16,27.01,24.72,6.6,25.71
22.64391,120.60001,2014,226,8.8,4.38,90.29,24.55,28.33,24.74,17.26,26.32
